snapshot_date,days,ranking_name,rank_no,stock_id,score,total_score,close,updated_at
2026-07-03,5,foreign_trust_same_buy,28,4532,52.38,27.87,29.1,2026-07-05T15:35:29
2026-07-03,5,foreign_trust_same_buy,29,2605,62.87,48.7,30.8,2026-07-05T15:35:29
2026-07-03,5,foreign_trust_same_buy,30,8046,70.17,40.36,1185.0,2026-07-05T15:35:29
2026-07-03,5,foreign_trust_same_buy,31,2201,45.42,42.59,28.8,2026-07-05T15:35:29
2026-07-03,5,foreign_trust_same_buy,32,2436,68.7,49.65,75.9,2026-07-05T15:35:29
2026-07-03,5,foreign_trust_same_buy,33,6282,37.24,36.52,58.3,2026-07-05T15:35:29
2026-07-03,5,foreign_trust_same_buy,34,1210,82.34,60.51,58.0,2026-07-05T15:35:29
2026-07-03,5,foreign_trust_same_buy,35,1904,69.94,46.25,23.2,2026-07-05T15:35:29
2026-07-03,5,foreign_trust_same_buy,36,5314,38.23,34.61,71.5,2026-07-05T15:35:29
2026-07-03,5,foreign_trust_same_buy,37,2395,79.89,57.88,521.0,2026-07-05T15:35:29
2026-07-03,5,foreign_trust_same_buy,38,1440,54.4,36.8,14.45,2026-07-05T15:35:29
2026-07-03,5,foreign_trust_same_buy,39,1722,64.55,47.71,48.75,2026-07-05T15:35:29
2026-07-03,5,foreign_trust_same_buy,40,1504,29.02,36.95,70.0,2026-07-05T15:35:29
2026-07-03,5,foreign_trust_same_buy,41,2204,89.61,76.34,57.1,2026-07-05T15:35:29
2026-07-03,5,foreign_trust_same_buy,42,1609,51.5,32.56,39.8,2026-07-05T15:35:29
2026-07-03,5,foreign_trust_same_buy,43,6491,85.45,45.47,372.5,2026-07-05T15:35:29
2026-07-03,5,foreign_trust_same_buy,44,2401,42.5,21.98,33.45,2026-07-05T15:35:29
2026-07-03,5,foreign_trust_same_buy,45,2363,29.1,26.24,70.6,2026-07-05T15:35:29
2026-07-03,5,foreign_trust_same_buy,46,2646,60.53,59.94,21.3,2026-07-05T15:35:29
2026-07-03,5,foreign_trust_same_buy,47,2897,91.39,67.02,10.55,2026-07-05T15:35:29
2026-07-03,5,foreign_trust_same_buy,48,3042,56.16,3.57,249.0,2026-07-05T15:35:29
2026-07-03,5,foreign_trust_same_buy,49,4766,82.0,62.54,370.5,2026-07-05T15:35:29
2026-07-03,5,foreign_trust_same_buy,50,6962,46.81,43.23,38.9,2026-07-05T15:35:29
2026-07-03,5,high_52w_inst_buy,1,1303,110.71,67.62,197.0,2026-07-05T15:35:29
2026-07-03,5,high_52w_inst_buy,2,6182,69.77,22.54,163.0,2026-07-05T15:35:29
2026-07-03,5,high_52w_inst_buy,3,6257,88.97,45.38,254.5,2026-07-05T15:35:29
2026-07-03,5,high_52w_inst_buy,4,1714,97.99,56.07,22.75,2026-07-05T15:35:29
2026-07-03,5,high_52w_inst_buy,5,2484,45.3,-4.06,96.4,2026-07-05T15:35:29
2026-07-03,5,high_52w_inst_buy,6,3042,56.16,3.57,249.0,2026-07-05T15:35:29
2026-07-03,5,high_52w_inst_buy,7,3026,76.62,26.84,988.0,2026-07-05T15:35:29
2026-07-03,5,high_52w_inst_buy,8,6446,78.8,56.48,1395.0,2026-07-05T15:35:29
2026-07-03,5,high_52w_inst_buy,9,4707,41.78,3.99,33.8,2026-07-05T15:35:29
2026-07-03,5,high_52w_inst_buy,10,6834,88.88,62.6,132.0,2026-07-05T15:35:29
2026-07-03,5,high_52w_inst_buy,11,2483,42.25,5.05,67.1,2026-07-05T15:35:29
2026-07-03,5,high_52w_inst_buy,12,6173,68.55,14.83,350.5,2026-07-05T15:35:29
2026-07-03,5,high_52w_inst_buy,13,6174,47.48,9.46,61.8,2026-07-05T15:35:29
2026-07-03,5,high_52w_inst_buy,14,8091,86.25,51.12,293.5,2026-07-05T15:35:29
2026-07-03,5,high_52w_inst_buy,15,2345,67.61,33.13,2735.0,2026-07-05T15:35:29
2026-07-03,5,high_52w_inst_buy,16,6223,92.55,57.31,7380.0,2026-07-05T15:35:29
2026-07-03,5,high_52w_inst_buy,17,8182,39.13,1.71,59.0,2026-07-05T15:35:29
2026-07-03,5,high_52w_inst_buy,18,2061,63.4,29.45,74.2,2026-07-05T15:35:29
2026-07-03,5,high_52w_inst_buy,19,2383,66.8,23.2,6080.0,2026-07-05T15:35:29
2026-07-03,5,high_52w_inst_buy,20,1718,34.17,-0.29,14.95,2026-07-05T15:35:29
2026-07-03,5,high_52w_inst_buy,21,6196,81.15,50.86,588.0,2026-07-05T15:35:29
2026-07-03,5,high_52w_inst_buy,22,1326,48.42,2.2,68.0,2026-07-05T15:35:29
2026-07-03,5,high_52w_inst_buy,23,1409,70.18,18.55,31.0,2026-07-05T15:35:29
2026-07-03,5,high_52w_inst_buy,24,5483,76.45,38.8,210.5,2026-07-05T15:35:29
2026-07-03,5,high_52w_inst_buy,25,2428,83.79,41.87,342.0,2026-07-05T15:35:29
2026-07-03,5,high_52w_inst_buy,26,7610,77.8,39.18,2550.0,2026-07-05T15:35:29
2026-07-03,5,high_52w_inst_buy,27,3066,74.66,45.69,26.5,2026-07-05T15:35:29
2026-07-03,5,high_52w_inst_buy,28,2434,25.33,-8.6,57.7,2026-07-05T15:35:29
2026-07-03,5,high_52w_inst_buy,29,3055,75.41,32.41,152.5,2026-07-05T15:35:29
2026-07-03,5,high_52w_inst_buy,30,6573,26.2,-6.34,25.1,2026-07-05T15:35:29
2026-07-03,5,high_52w_inst_buy,31,6509,77.6,31.23,55.6,2026-07-05T15:35:29
2026-07-03,5,high_52w_inst_buy,32,2887,108.78,75.73,34.15,2026-07-05T15:35:29
2026-07-03,5,high_52w_inst_buy,33,1617,53.79,21.08,24.5,2026-07-05T15:35:29
2026-07-03,5,high_52w_inst_buy,34,5488,48.92,9.18,15.45,2026-07-05T15:35:29
